# Recognized email domains for universities in the QS 2025 institution catalog.
# Format: domain,institution enum value. Subdomains are recognized automatically.
bnu.edu.cn,BEIJING_NORMAL_UNIVERSITY
ru.nl,RADBOUD_UNIVERSITY
ucc.ie,UNIVERSITY_COLLEGE_CORK
universityofgalway.ie,UNIVERSITY_OF_GALWAY
dal.ca,DALHOUSIE_UNIVERSITY
umass.edu,UMASS_AMHERST
pitt.edu,UNIVERSITY_OF_PITTSBURGH
up.pt,UNIVERSITY_OF_PORTO
vub.ac.be,VRIJE_UNIVERSITEIT_BRUSSEL
vub.be,VRIJE_UNIVERSITEIT_BRUSSEL
unist.ac.kr,UNIST
huji.ac.il,HEBREW_UNIVERSITY_OF_JERUSALEM
strath.ac.uk,UNIVERSITY_OF_STRATHCLYDE
pantheonsorbonne.fr,PARIS_1_PANTHEON_SORBONNE
sustech.edu.cn,SOUTHERN_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY
metu.edu.tr,MIDDLE_EAST_TECHNICAL_UNIVERSITY
uc3m.es,UNIVERSIDAD_CARLOS_III_DE_MADRID
uni-koeln.de,UNIVERSITY_OF_COLOGNE
le.ac.uk,UNIVERSITY_OF_LEICESTER
unimi.it,UNIVERSITY_OF_MILAN
surrey.ac.uk,UNIVERSITY_OF_SURREY
swin.edu.au,SWINBURNE_UNIVERSITY_OF_TECHNOLOGY
uib.no,UNIVERSITY_OF_BERGEN
arizona.edu,UNIVERSITY_OF_ARIZONA
utas.edu.au,UNIVERSITY_OF_TASMANIA
xjtu.edu.cn,XIAN_JIAOTONG_UNIVERSITY
sun.ac.za,STELLENBOSCH_UNIVERSITY
virginia.edu,UNIVERSITY_OF_VIRGINIA
bmstu.ru,BAUMAN_MOSCOW_STATE_TECHNICAL_UNIVERSITY
swansea.ac.uk,SWANSEA_UNIVERSITY
hust.edu.cn,HUAZHONG_UNIVERSITY_OF_SCIENCE_AND_TECHNOLOGY
georgetown.edu,GEORGETOWN_UNIVERSITY
bit.edu.cn,BEIJING_INSTITUTE_OF_TECHNOLOGY
u-paris.fr,UNIVERSITE_PARIS_CITE
liu.se,LINKOPING_UNIVERSITY
ufrj.br,UFRJ
auc.dk,AALBORG_UNIVERSITY
aau.dk,AALBORG_UNIVERSITY
student.aau.dk,AALBORG_UNIVERSITY
uci.edu,UC_IRVINE
unair.ac.id,AIRLANGGA_UNIVERSITY
goethe-university-frankfurt.de,GOETHE_UNIVERSITY_FRANKFURT
uibk.ac.at,UNIVERSITY_OF_INNSBRUCK
ncsu.edu,NC_STATE_UNIVERSITY
uj.edu.pl,JAGIELLONIAN_UNIVERSITY
uj.ac.za,UNIVERSITY_OF_JOHANNESBURG
uni-stuttgart.de,UNIVERSITY_OF_STUTTGART
qau.edu.pk,QUAID_I_AZAM_UNIVERSITY
pfu.edu.ru,RUDN_UNIVERSITY
sdu.edu.cn,SHANDONG_UNIVERSITY
nd.edu,UNIVERSITY_OF_NOTRE_DAME
sfu.ca,SIMON_FRASER_UNIVERSITY
colorado.edu,CU_BOULDER
enu.kz,EURASIAN_NATIONAL_UNIVERSITY
ntua.gr,NATIONAL_TECHNICAL_UNIVERSITY_OF_ATHENS
upm.es,UNIVERSIDAD_POLITECNICA_DE_MADRID
sdu.dk,UNIVERSITY_OF_SOUTHERN_DENMARK
dgist.ac.kr,DGIST
itu.edu.tr,ISTANBUL_TECHNICAL_UNIVERSITY
khu.ac.kr,KYUNG_HEE_UNIVERSITY
rutgers.edu,RUTGERS_UNIVERSITY
du.ac.in,UNIVERSITY_OF_DELHI
mail2.sysu.edu.cn,SUN_YAT_SEN_UNIVERSITY
mail.sysu.edu.cn,SUN_YAT_SEN_UNIVERSITY
